ogc_fid,page_no,track_id,start_lon,start_lat,end_lon,end_lat
4,0,0,11.4860349,48.075854,11.5942549,48.1768849
5,0,1,11.5357299,48.1070819,11.5357447,48.1048797
6,0,2,11.5897827,48.1754351,11.5873049,48.220534
7,1000,0,11.448957,48.129556,11.4473443,48.2465911
8,1001,0,11.4470844,48.2467766,11.4024782,48.1802201
9,1002,0,11.4025426,48.1806064,11.6069536,48.18248
10,1003,0,11.6069072,48.1824352,11.45961,48.148076
11,1004,0,11.459626,48.148093,11.5861788,48.1643753
12,1005,0,11.5861292,48.1642685,11.5950608,48.1274986
13,1006,0,11.5951252,48.1274772,11.6857133,48.1183483
14,1007,0,11.6856433,48.118355,11.6097164,48.1212115
15,1008,0,11.6096306,48.1212115,11.669993,48.215577
16,1009,0,11.669917,48.215572,11.7031667,48.190765
17,100,0,11.5311456,48.0913572,11.5315848,48.0953075
18,100,1,11.557481,48.2481898,11.5606954,48.2482131
19,100,2,11.5488224,48.1120727,11.4997097,48.1667592
20,100,3,11.5954915,48.0616615,11.4091265,48.1288831
21,1010,0,11.7034667,48.190685,11.673853,48.217195
22,1011,0,11.673853,48.217195,11.616195,48.212153
23,1012,0,11.616195,48.212153,11.643087,48.244663
24,1013,0,11.643087,48.244663,11.694612,48.22596
25,1014,0,11.694612,48.22596,11.678288,48.220558
26,1015,0,11.678248,48.220495,11.677802,48.193987
27,1016,0,11.677853,48.193955,11.646763,48.201147
28,1017,0,11.646705,48.201143,11.640408,48.193988
29,1018,0,11.640467,48.193975,11.442918,48.103197
30,1019,0,11.442683,48.103272,11.5579813,48.1768158
31,101,0,11.4087932,48.1287798,11.3610199,48.1141849
32,101,1,11.60202,48.24751,11.3641164,48.1749054
33,1020,0,11.5579044,48.1768919,11.368642,48.131555
34,1021,0,11.36879,48.131578,11.581547,48.115325
35,1022,0,11.581563,48.115337,11.495932,48.162432
36,1023,0,11.496001,48.162228,11.6758704,48.1111693
37,1024,0,11.6757631,48.1112337,11.479645,48.088766
38,1025,0,11.479497,48.088768,11.58991,48.1666517
39,1026,0,11.58988,48.1666267,11.519308,48.122433
40,1027,0,11.51929,48.122407,11.5983117,48.1594517
41,1028,0,11.5983433,48.159475,11.3940949,48.1470433
42,1029,0,11.3941483,48.1476783,11.4001683,48.1330649
43,102,0,11.3641164,48.1749054,11.5022031,48.1090893
44,1030,0,11.3998483,48.133565,11.589521,48.13797
45,1031,0,11.589475,48.137917,11.5451426,48.1301332
46,1032,0,11.545141,48.1300839,11.4585017,48.17077
47,1033,0,11.45886,48.170855,11.622744,48.242749
48,1034,0,11.6232,48.242608,11.5184271,48.0946587
49,1035,0,11.5183744,48.0946539,11.70896,48.102367
50,1036,0,11.708935,48.102323,11.423475,48.170422
51,1037,0,11.423475,48.170422,11.6658867,48.1208683
52,1038,0,11.66595,48.1208467,11.677967,48.103202
53,1039,0,11.67808,48.10323,11.501628,48.11064
54,103,0,11.5022031,48.1090893,11.5337621,48.1342363
55,103,1,11.6368094,48.0619615,11.3610481,48.1141755
56,1040,0,11.501723,48.110573,11.392892,48.083207
57,1041,0,11.392891,48.083207,11.5642821,48.1510134
58,1042,0,11.5642763,48.1510415,11.5450354,48.1308546
59,1043,0,11.5450235,48.1308182,11.3912682,48.2082202
60,1044,0,11.3909602,48.2084029,11.6048317,48.1331917
61,1045,0,11.6047967,48.1331883,11.705528,48.091475
62,1046,0,11.705622,48.09156,11.534183,48.110562
63,1047,0,11.5341739,48.1105654,11.5451846,48.1291218
64,1048,0,11.5451883,48.1291401,11.5336312,48.0789859
65,1049,0,11.533586,48.0789896,11.5986817,48.129455
66,104,0,11.5337493,48.1342391,11.5635777,48.1730951
