ogc_fid,page_no,track_id,summary,distance,duration,walking_distance,walking_duration,geojson,switch_points,existence
5,0,1,Walking,969.5927995885299,12.92790399448141,969.5927995885299,12.92790399448141,5_0_1_1.geojson,0,TRUE
6,0,2,Walking,5555.96939798864,74.07959197299668,5555.96939798864,74.07959197299668,6_0_2_1.geojson,0,TRUE
7,1000,0,"Driving, parking and walking",16847.534173420838,51.546579845025846,1198.89171755343,15.985297900672439,7_1000_0_1.geojson,1,TRUE
7,1000,0,Walking,14232.520509277008,189.76694012321894,14232.520509277008,189.76694012321894,7_1000_0_2.geojson,0,TRUE
8,1001,0,"Driving, parking and walking",13574.912835022591,37.82734262696337,955.4856976944399,12.739884302560684,8_1001_0_1.geojson,1,TRUE
8,1001,0,Walking,10106.14385426802,134.74858472323672,10106.14385426802,134.74858472323672,8_1001_0_2.geojson,0,TRUE
9,1002,0,"Driving, parking and walking",18119.2563002766,40.13188377405992,674.4773739837401,8.993106653094053,9_1002_0_1.geojson,1,TRUE
9,1002,0,Walking,17007.08934846296,226.7611913122726,17007.08934846296,226.7611913122726,9_1002_0_2.geojson,0,TRUE
10,1003,0,"Driving, parking and walking",14364.825345887499,34.335352735515464,595.4718032179799,7.939699042886554,10_1003_0_1.geojson,1,TRUE
10,1003,0,Walking,13268.460724456178,176.91280965897343,13268.460724456178,176.91280965897343,10_1003_0_2.geojson,0,TRUE
11,1004,0,"Driving, parking and walking",12438.364171737954,28.510725508010513,391.26361752198,5.216923233613359,11_1004_0_1.geojson,1,TRUE
11,1004,0,Walking,10889.876106769003,145.19834808989032,10889.876106769003,145.19834808989032,11_1004_0_2.geojson,0,TRUE
12,1005,0,Walking,4865.807167591612,64.87742890105926,4865.807167591612,64.87742890105926,12_1005_0_1.geojson,0,TRUE
13,1006,0,"Driving, parking and walking",8010.304186899433,19.102846514805456,304.77433896579,4.063732852867043,13_1006_0_1.geojson,1,TRUE
13,1006,0,Walking,7448.71670052055,99.31622267335904,7448.71670052055,99.31622267335904,13_1006_0_2.geojson,0,TRUE
14,1007,0,"Driving, parking and walking",7802.73503933805,23.80150347895595,671.11932496235,8.9483326661423,14_1007_0_1.geojson,1,TRUE
14,1007,0,Walking,6312.527828270088,84.16703771005743,6312.527828270088,84.16703771005743,14_1007_0_2.geojson,0,TRUE
15,1008,0,"Driving, parking and walking",14904.80247968455,40.77213373325291,1218.2114012767,16.242893683648724,15_1008_0_1.geojson,1,TRUE
15,1008,0,Walking,12836.237144958006,171.14982859901218,12836.237144958006,171.14982859901218,15_1008_0_2.geojson,0,TRUE
17,100,0,Walking,541.88798748722,7.225173166478203,541.88798748722,7.225173166478203,17_100_0_1.geojson,0,TRUE
19,100,2,Walking,8401.720544129113,112.02294058810809,8401.720544129113,112.02294058810809,19_100_2_1.geojson,0,TRUE
20,100,3,"Driving, parking and walking",24330.441408486065,54.012842552158894,993.5360668261,13.247222557648218,20_100_3_1.geojson,1,TRUE
20,100,3,Walking,18658.505313165766,248.78007084158835,18658.505313165766,248.78007084158835,20_100_3_2.geojson,0,TRUE
21,1010,0,"Driving, parking and walking",6416.898331253011,21.872743353873105,798.3522585300001,10.64477178037339,21_1010_0_1.geojson,1,TRUE
22,1011,0,"Driving, parking and walking",10334.647819199216,37.915124050670464,1765.3466473043004,23.538030297331826,22_1011_0_1.geojson,1,TRUE
22,1011,0,Walking,6300.18877883846,84.00251705096942,6300.18877883846,84.00251705096942,22_1011_0_2.geojson,0,TRUE
23,1012,0,Walking,5837.161927771099,77.82882570342008,5837.161927771099,77.82882570342008,23_1012_0_1.geojson,0,TRUE
24,1013,0,Walking,5074.949210937069,67.66598947899175,5074.949210937069,67.66598947899175,24_1013_0_1.geojson,0,TRUE
25,1014,0,"Driving, parking and walking",2620.6033915420503,9.563816193781536,359.08696040185,4.7879011386793655,25_1014_0_1.geojson,1,TRUE
25,1014,0,Walking,1607.8018741121407,21.437358321441607,1607.8018741121407,21.437358321441607,25_1014_0_2.geojson,0,TRUE
26,1015,0,Walking,4406.34521271594,58.75126950273232,4406.34521271594,58.75126950273232,26_1015_0_1.geojson,0,TRUE
27,1016,0,"Driving, parking and walking",7858.712013322841,32.92766973693013,1492.9549272862205,19.906140697099836,27_1016_0_1.geojson,1,TRUE
27,1016,0,Walking,2960.0597001323,39.46746266833198,2960.0597001323,39.46746266833198,27_1016_0_2.geojson,0,TRUE
28,1017,0,"Driving, parking and walking",2107.62290911786,11.745065337036431,494.57196084640003,6.5943678112688495,28_1017_0_1.geojson,1,TRUE
28,1017,0,Walking,1188.33443788262,15.844459171728657,1188.33443788262,15.844459171728657,28_1017_0_2.geojson,0,TRUE
29,1018,0,"Driving, parking and walking",22967.401973814194,60.34911487401164,1690.3047748016697,22.53747199729926,29_1018_0_1.geojson,1,TRUE
29,1018,0,Walking,20611.81478221415,274.8241970955016,20611.81478221415,274.8241970955016,29_1018_0_2.geojson,0,TRUE
31,101,0,"Driving, parking and walking",5711.969632422561,32.738467280993774,1867.14489329661,24.89534024389257,31_101_0_1.geojson,1,TRUE
32,101,1,"Driving, parking and walking",26538.298308970465,54.938243151082176,310.31597541535996,4.137621338861124,32_101_1_1.geojson,1,TRUE
32,101,1,Walking,23187.002363541196,309.1600315131094,23187.002363541196,309.1600315131094,32_101_1_2.geojson,0,TRUE
